2024-10-22 17:34:11.364 INFO  56815 --- [restartedMain] c.p.polychatbe.PolychatBeApplication : Starting PolychatBeApplication using Java 17.0.12 with PID 56815 (/Users/kuredogyon/Documents/PolyChat-BE/build/classes/java/main started by kuredogyon in /Users/kuredogyon/Documents/PolyChat-BE)
2024-10-22 17:34:11.365 INFO  56815 --- [restartedMain] c.p.polychatbe.PolychatBeApplication : No active profile set, falling back to 1 default profile: "default"
2024-10-22 17:34:11.383 INFO  56815 --- [restartedMain] o.s.b.d.restart.ChangeableUrls : The Class-Path manifest attribute in /Users/kuredogyon/.gradle/caches/modules-2/files-2.1/io.grpc/grpc-netty-shaded/1.39.0/de29a0879a702fc527e3dd8c9af2f4f92b5a7738/grpc-netty-shaded-1.39.0.jar referenced one or more files that do not exist: file:/Users/kuredogyon/.gradle/caches/modules-2/files-2.1/io.grpc/grpc-netty-shaded/1.39.0/de29a0879a702fc527e3dd8c9af2f4f92b5a7738/grpc-core-1.39.0.jar,file:/Users/kuredogyon/.gradle/caches/modules-2/files-2.1/io.grpc/grpc-netty-shaded/1.39.0/de29a0879a702fc527e3dd8c9af2f4f92b5a7738/grpc-api-1.39.0.jar,file:/Users/kuredogyon/.gradle/caches/modules-2/files-2.1/io.grpc/grpc-netty-shaded/1.39.0/de29a0879a702fc527e3dd8c9af2f4f92b5a7738/guava-30.1-android.jar,file:/Users/kuredogyon/.gradle/caches/modules-2/files-2.1/io.grpc/grpc-netty-shaded/1.39.0/de29a0879a702fc527e3dd8c9af2f4f92b5a7738/error_prone_annotations-2.4.0.jar,file:/Users/kuredogyon/.gradle/caches/modules-2/files-2.1/io.grpc/grpc-netty-shaded/1.39.0/de29a0879a702fc527e3dd8c9af2f4f92b5a7738/perfmark-api-0.23.0.jar,file:/Users/kuredogyon/.gradle/caches/modules-2/files-2.1/io.grpc/grpc-netty-shaded/1.39.0/de29a0879a702fc527e3dd8c9af2f4f92b5a7738/failureaccess-1.0.1.jar,file:/Users/kuredogyon/.gradle/caches/modules-2/files-2.1/io.grpc/grpc-netty-shaded/1.39.0/de29a0879a702fc527e3dd8c9af2f4f92b5a7738/listenablefuture-9999.0-empty-to-avoid-conflict-with-guava.jar,file:/Users/kuredogyon/.gradle/caches/modules-2/files-2.1/io.grpc/grpc-netty-shaded/1.39.0/de29a0879a702fc527e3dd8c9af2f4f92b5a7738/jsr305-3.0.2.jar,file:/Users/kuredogyon/.gradle/caches/modules-2/files-2.1/io.grpc/grpc-netty-shaded/1.39.0/de29a0879a702fc527e3dd8c9af2f4f92b5a7738/checker-compat-qual-2.5.5.jar,file:/Users/kuredogyon/.gradle/caches/modules-2/files-2.1/io.grpc/grpc-netty-shaded/1.39.0/de29a0879a702fc527e3dd8c9af2f4f92b5a7738/j2objc-annotations-1.3.jar,file:/Users/kuredogyon/.gradle/caches/modules-2/files-2.1/io.grpc/grpc-netty-shaded/1.39.0/de29a0879a702fc527e3dd8c9af2f4f92b5a7738/gson-2.8.6.jar,file:/Users/kuredogyon/.gradle/caches/modules-2/files-2.1/io.grpc/grpc-netty-shaded/1.39.0/de29a0879a702fc527e3dd8c9af2f4f92b5a7738/annotations-4.1.1.4.jar,file:/Users/kuredogyon/.gradle/caches/modules-2/files-2.1/io.grpc/grpc-netty-shaded/1.39.0/de29a0879a702fc527e3dd8c9af2f4f92b5a7738/animal-sniffer-annotations-1.19.jar,file:/Users/kuredogyon/.gradle/caches/modules-2/files-2.1/io.grpc/grpc-netty-shaded/1.39.0/de29a0879a702fc527e3dd8c9af2f4f92b5a7738/grpc-context-1.39.0.jar
2024-10-22 17:34:11.383 INFO  56815 --- [restartedMain] o.s.b.d.restart.ChangeableUrls : The Class-Path manifest attribute in /Users/kuredogyon/.gradle/caches/modules-2/files-2.1/io.grpc/grpc-alts/1.39.0/7cfb9a940b68812e5449f867e27728668130bedb/grpc-alts-1.39.0.jar referenced one or more files that do not exist: file:/Users/kuredogyon/.gradle/caches/modules-2/files-2.1/io.grpc/grpc-alts/1.39.0/7cfb9a940b68812e5449f867e27728668130bedb/grpc-auth-1.39.0.jar,file:/Users/kuredogyon/.gradle/caches/modules-2/files-2.1/io.grpc/grpc-alts/1.39.0/7cfb9a940b68812e5449f867e27728668130bedb/grpc-grpclb-1.39.0.jar,file:/Users/kuredogyon/.gradle/caches/modules-2/files-2.1/io.grpc/grpc-alts/1.39.0/7cfb9a940b68812e5449f867e27728668130bedb/grpc-protobuf-1.39.0.jar,file:/Users/kuredogyon/.gradle/caches/modules-2/files-2.1/io.grpc/grpc-alts/1.39.0/7cfb9a940b68812e5449f867e27728668130bedb/grpc-stub-1.39.0.jar,file:/Users/kuredogyon/.gradle/caches/modules-2/files-2.1/io.grpc/grpc-alts/1.39.0/7cfb9a940b68812e5449f867e27728668130bedb/protobuf-java-util-3.17.2.jar,file:/Users/kuredogyon/.gradle/caches/modules-2/files-2.1/io.grpc/grpc-alts/1.39.0/7cfb9a940b68812e5449f867e27728668130bedb/proto-google-common-protos-2.0.1.jar,file:/Users/kuredogyon/.gradle/caches/modules-2/files-2.1/io.grpc/grpc-alts/1.39.0/7cfb9a940b68812e5449f867e27728668130bedb/protobuf-java-3.17.2.jar,file:/Users/kuredogyon/.gradle/caches/modules-2/files-2.1/io.grpc/grpc-alts/1.39.0/7cfb9a940b68812e5449f867e27728668130bedb/conscrypt-openjdk-uber-2.5.1.jar,file:/Users/kuredogyon/.gradle/caches/modules-2/files-2.1/io.grpc/grpc-alts/1.39.0/7cfb9a940b68812e5449f867e27728668130bedb/google-auth-library-oauth2-http-0.22.2.jar,file:/Users/kuredogyon/.gradle/caches/modules-2/files-2.1/io.grpc/grpc-alts/1.39.0/7cfb9a940b68812e5449f867e27728668130bedb/grpc-netty-shaded-1.39.0.jar,file:/Users/kuredogyon/.gradle/caches/modules-2/files-2.1/io.grpc/grpc-alts/1.39.0/7cfb9a940b68812e5449f867e27728668130bedb/grpc-core-1.39.0.jar,file:/Users/kuredogyon/.gradle/caches/modules-2/files-2.1/io.grpc/grpc-alts/1.39.0/7cfb9a940b68812e5449f867e27728668130bedb/grpc-protobuf-lite-1.39.0.jar,file:/Users/kuredogyon/.gradle/caches/modules-2/files-2.1/io.grpc/grpc-alts/1.39.0/7cfb9a940b68812e5449f867e27728668130bedb/grpc-api-1.39.0.jar,file:/Users/kuredogyon/.gradle/caches/modules-2/files-2.1/io.grpc/grpc-alts/1.39.0/7cfb9a940b68812e5449f867e27728668130bedb/google-http-client-jackson2-1.38.0.jar,file:/Users/kuredogyon/.gradle/caches/modules-2/files-2.1/io.grpc/grpc-alts/1.39.0/7cfb9a940b68812e5449f867e27728668130bedb/google-http-client-1.38.0.jar,file:/Users/kuredogyon/.gradle/caches/modules-2/files-2.1/io.grpc/grpc-alts/1.39.0/7cfb9a940b68812e5449f867e27728668130bedb/opencensus-contrib-http-util-0.24.0.jar,file:/Users/kuredogyon/.gradle/caches/modules-2/files-2.1/io.grpc/grpc-alts/1.39.0/7cfb9a940b68812e5449f867e27728668130bedb/guava-30.1-android.jar,file:/Users/kuredogyon/.gradle/caches/modules-2/files-2.1/io.grpc/grpc-alts/1.39.0/7cfb9a940b68812e5449f867e27728668130bedb/google-auth-library-credentials-0.22.2.jar,file:/Users/kuredogyon/.gradle/caches/modules-2/files-2.1/io.grpc/grpc-alts/1.39.0/7cfb9a940b68812e5449f867e27728668130bedb/error_prone_annotations-2.4.0.jar,file:/Users/kuredogyon/.gradle/caches/modules-2/files-2.1/io.grpc/grpc-alts/1.39.0/7cfb9a940b68812e5449f867e27728668130bedb/jsr305-3.0.2.jar,file:/Users/kuredogyon/.gradle/caches/modules-2/files-2.1/io.grpc/grpc-alts/1.39.0/7cfb9a940b68812e5449f867e27728668130bedb/failureaccess-1.0.1.jar,file:/Users/kuredogyon/.gradle/caches/modules-2/files-2.1/io.grpc/grpc-alts/1.39.0/7cfb9a940b68812e5449f867e27728668130bedb/listenablefuture-9999.0-empty-to-avoid-conflict-with-guava.jar,file:/Users/kuredogyon/.gradle/caches/modules-2/files-2.1/io.grpc/grpc-alts/1.39.0/7cfb9a940b68812e5449f867e27728668130bedb/checker-compat-qual-2.5.5.jar,file:/Users/kuredogyon/.gradle/caches/modules-2/files-2.1/io.grpc/grpc-alts/1.39.0/7cfb9a940b68812e5449f867e27728668130bedb/j2objc-annotations-1.3.jar,file:/Users/kuredogyon/.gradle/caches/modules-2/files-2.1/io.grpc/grpc-alts/1.39.0/7cfb9a940b68812e5449f867e27728668130bedb/auto-value-annotations-1.7.4.jar,file:/Users/kuredogyon/.gradle/caches/modules-2/files-2.1/io.grpc/grpc-alts/1.39.0/7cfb9a940b68812e5449f867e27728668130bedb/perfmark-api-0.23.0.jar,file:/Users/kuredogyon/.gradle/caches/modules-2/files-2.1/io.grpc/grpc-alts/1.39.0/7cfb9a940b68812e5449f867e27728668130bedb/opencensus-api-0.24.0.jar,file:/Users/kuredogyon/.gradle/caches/modules-2/files-2.1/io.grpc/grpc-alts/1.39.0/7cfb9a940b68812e5449f867e27728668130bedb/grpc-context-1.39.0.jar,file:/Users/kuredogyon/.gradle/caches/modules-2/files-2.1/io.grpc/grpc-alts/1.39.0/7cfb9a940b68812e5449f867e27728668130bedb/gson-2.8.6.jar,file:/Users/kuredogyon/.gradle/caches/modules-2/files-2.1/io.grpc/grpc-alts/1.39.0/7cfb9a940b68812e5449f867e27728668130bedb/annotations-4.1.1.4.jar,file:/Users/kuredogyon/.gradle/caches/modules-2/files-2.1/io.grpc/grpc-alts/1.39.0/7cfb9a940b68812e5449f867e27728668130bedb/animal-sniffer-annotations-1.19.jar,file:/Users/kuredogyon/.gradle/caches/modules-2/files-2.1/io.grpc/grpc-alts/1.39.0/7cfb9a940b68812e5449f867e27728668130bedb/httpclient-4.5.13.jar,file:/Users/kuredogyon/.gradle/caches/modules-2/files-2.1/io.grpc/grpc-alts/1.39.0/7cfb9a940b68812e5449f867e27728668130bedb/httpcore-4.4.13.jar,file:/Users/kuredogyon/.gradle/caches/modules-2/files-2.1/io.grpc/grpc-alts/1.39.0/7cfb9a940b68812e5449f867e27728668130bedb/jackson-core-2.11.3.jar,file:/Users/kuredogyon/.gradle/caches/modules-2/files-2.1/io.grpc/grpc-alts/1.39.0/7cfb9a940b68812e5449f867e27728668130bedb/commons-logging-1.2.jar,file:/Users/kuredogyon/.gradle/caches/modules-2/files-2.1/io.grpc/grpc-alts/1.39.0/7cfb9a940b68812e5449f867e27728668130bedb/commons-codec-1.11.jar
2024-10-22 17:34:11.384 INFO  56815 --- [restartedMain] o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-10-22 17:34:11.384 INFO  56815 --- [restartedMain] o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-10-22 17:34:11.879 INFO  56815 --- [restartedMain] o.s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-10-22 17:34:11.920 INFO  56815 --- [restartedMain] o.s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 37 ms. Found 14 JPA repository interfaces.
2024-10-22 17:34:12.229 INFO  56815 --- [restartedMain] o.s.b.w.e.tomcat.TomcatWebServer : Tomcat initialized with port 8000 (http)
2024-10-22 17:34:12.237 INFO  56815 --- [restartedMain] o.a.catalina.core.StandardService : Starting service [Tomcat]
2024-10-22 17:34:12.237 INFO  56815 --- [restartedMain] o.a.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/10.1.26]
